Location[0]	Station-No.[1]	GeoX[2]	GeoY[3]	North[4]	East[5]	VehicleCount[6]	OpenParkingSpots (used only for onewaycarsharing)[7]	
4218	4218	4587111.192890488	5804948.232375981	-	-	1	
6444	6444	4598321.378899036	5810145.1009279685	-	-	1	
10739	10739	4607350.505262233	5807842.211404341	-	-	1	
9406	9406	4583844.290058852	5825206.129276659	-	-	1	
9001	9001	4580884.178022132	5822055.816798157	-	-	1	
2834	2834	4593524.403216545	5819675.391306592	-	-	1	
9355	9355	4604694.296982969	5812890.639605153	-	-	1	
4003	4003	4526160.322675475	5853976.5065099755	-	-	1	
7936	7936	4585111.051754155	5821771.212884416	-	-	1	
12052	12052	4598759.768435524	5824981.270120731	-	-	1	
4764	4764	4591746.295554937	5818383.614781704	-	-	1	
2987	2987	4619763.971352945	5819673.776131707	-	-	1	
8187	8187	4597114.362407652	5823875.692183241	-	-	1	
1971	1971	4596959.4526438555	5819907.382339131	-	-	1	
2560	2560	4591869.647191896	5816311.546206662	-	-	1	
7030	7030	4601400.743573151	5821514.039526536	-	-	1	
2110	2110	4606988.103963271	5813233.487301815	-	-	1	
1964	1964	4600154.737096454	5819808.0269582225	-	-	1	
9256	9256	4589637.384894296	5815371.379655502	-	-	1	
1808	1808	4589388.502606741	5815320.803015967	-	-	1	
7034	7034	4600186.0336833	5819484.546716423	-	-	1	
9421	9421	4590130.156473691	5811802.778827133	-	-	1	
1786	1786	4612163.062905101	5811523.557991057	-	-	1	
6419	6419	4588575.514766379	5819077.276195269	-	-	1	
9627	9627	4613185.79304984	5816624.77217288	-	-	1	
3184	3184	4622107.088652994	5824008.683392714	-	-	1	
2840	2840	4591853.575057694	5828648.094250306	-	-	1	
10152	10152	4597023.976335048	5810496.709600501	-	-	1	
11056	11056	4594107.050323112	5821164.387198245	-	-	1	
3426	3426	4589432.769684604	5839233.4643868	-	-	1	
4188	4188	4580812.018032797	5806437.352187182	-	-	1	
8919	8919	4594323.400657836	5809876.951347477	-	-	1	
6307	6307	4591346.356993447	5817780.239473628	-	-	1	
1683	1683	4598925.512873657	5820625.103755225	-	-	1	
7066	7066	4588005.614610753	5819531.779201289	-	-	1	
51	51	4593022.719447286	5818852.476016812	-	-	1	
622	622	4583432.728576751	5825625.370809429	-	-	1	
2510	2510	4588107.652242069	5817187.409802633	-	-	1	
3453	3453	4586175.528047169	5845313.561416763	-	-	1	
2448	2448	4586730.296420273	5816401.3362987265	-	-	1	
1442	1442	4607373.738127233	5816134.010784729	-	-	1	
10557	10557	4591020.464710194	5824989.411116028	-	-	1	
10604	10604	4596616.358203171	5819973.442190193	-	-	1	
2746	2746	4589490.855580728	5821585.930110528	-	-	1	
4487	4487	4588116.098114793	5795249.654003396	-	-	1	
883	883	4574376.149970726	5826726.586973208	-	-	1	
9041	9041	4605405.877184429	5825267.871464827	-	-	1	
7149	7149	4588425.2087810775	5818740.846491984	-	-	1	
2795	2795	4596717.374371367	5825855.708557086	-	-	1	
10289	10289	4600557.272317665	5819166.977537942	-	-	1	
8251	8251	4595940.937843097	5827367.009703965	-	-	1	
5378	5378	4597625.219973052	5818506.873501917	-	-	1	
11109	11109	4610373.331780781	5802221.307378775	-	-	1	
2856	2856	4592173.061159188	5829814.593270061	-	-	1	
10930	10930	4607392.313140971	5818234.88514009	-	-	1	
6866	6866	4595260.77120276	5809294.253304821	-	-	1	
501	501	4599539.344722681	5825782.940357091	-	-	1	
1158	1158	4607100.641458873	5826899.071363789	-	-	1	
6984	6984	4595820.118684371	5809726.199878998	-	-	1	
3934	3934	4654406.993694638	5814978.14991192	-	-	1	
11341	11341	4608996.703479486	5814233.10496203	-	-	1	
10956	10956	4588220.356740011	5826482.793595402	-	-	1	
1409	1409	4599607.748706723	5831424.92415739	-	-	1	
419	419	4570378.494899535	5828213.873846124	-	-	1	
5248	5248	4589058.260190636	5818815.211279215	-	-	1	
9268	9268	4593480.383717086	5826457.025954283	-	-	1	
11388	11388	4607060.419744425	5815020.776582258	-	-	1	
569	569	4603905.893400074	5815687.081132892	-	-	1	
11618	11618	4591999.744335912	5826937.808631187	-	-	1	
4256	4256	4585177.199270697	5803524.103721915	-	-	1	
9351	9351	4586757.711529391	5821758.116324258	-	-	1	
103	103	4588101.070850224	5818505.244875506	-	-	1	
6709	6709	4587167.684748289	5819428.096434562	-	-	1	
10270	10270	4602353.336968313	5803014.311985752	-	-	1	
693	693	4599092.526489305	5818385.978752872	-	-	1	
1915	1915	4593456.138492303	5821979.838533758	-	-	1	
2615	2615	4607730.066623607	5822840.057850016	-	-	1	
219	219	4594626.421305358	5822878.802475318	-	-	1	
3107	3107	4531119.18007819	5809672.3102691695	-	-	1	
7567	7567	4602811.019426657	5819144.124736418	-	-	1	
7725	7725	4582926.874902066	5818409.777964449	-	-	1	
5355	5355	4600737.630494877	5817075.654508645	-	-	1	
2155	2155	4581717.143745322	5817124.566563961	-	-	1	
5437	5437	4590027.277867099	5819892.784865663	-	-	1	
5825	5825	4582914.624372367	5817733.204013823	-	-	1	
5115	5115	4615591.551338553	5812873.401589369	-	-	1	
11703	11703	4608275.193459322	5819997.362028191	-	-	1	
226	226	4577280.910854358	5826454.0922725955	-	-	1	
8185	8185	4601572.866565835	5827571.41491603	-	-	1	
6344	6344	4587867.941261031	5819490.785448283	-	-	1	
6719	6719	4600544.624927874	5820614.5535714915	-	-	1	
505	505	4588456.689541615	5816331.366111482	-	-	1	
4497	4497	4579136.394757064	5793087.733525181	-	-	1	
11863	11863	4605941.719427645	5827370.841627696	-	-	1	
11598	11598	4600035.9710530145	5812717.491474542	-	-	1	
4150	4150	4567793.8800549405	5799463.486894508	-	-	1	
4853	4853	4595518.2628588285	5827121.107178991	-	-	1	
9551	9551	4596686.707153604	5823088.035261503	-	-	1	
3710	3710	4583747.827335174	5849348.975886476	-	-	1	
383	383	4594076.137193922	5820658.505694823	-	-	1	
6528	6528	4609381.455144845	5859516.761977378	-	-	1	
2912	2912	4600729.290297899	5822984.998522764	-	-	1	
11401	11401	4595309.578493067	5807118.9797730995	-	-	1	
8841	8841	4618217.254763765	5780904.349445957	-	-	1	
